pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,count,pfx_z_inches,pfx_x_inches,pitch_group,launch_angle_group
Changeup,2024-09-24,89.5,1.58,6.02,"Skubal, Tarik",650490,669373,field_out,hit_into_play,,,,,5.0,"Yandy Díaz grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,X,5.0,ground_ball,1,2,2024,1.29,0.6,0.19,2.46,,,,1,6,Top,101.52,160.56,,,668670,,,-6.131163264147724,-130.2596677857619,-4.084182503611127,15.920675826880878,25.80653929871243,-24.65811106661665,3.39,1.59,8.0,85.9,-19.0,89.7,1919.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.25,0.086,0.075,0.0,1.0,0.0,0.0,Topped,41,4,2,0,0,2,0,2,0,2,Standard,Standard,132.0,0.021,-0.115,77.95268,7.85234,1-2,7.199999999999999,-15.48,Offspeed balls,Topped
Four-Seam,2024-09-24,95.7,1.34,6.24,"Skubal, Tarik",650490,669373,,swinging_strike,,,,,3.0,"Yandy Díaz grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,S,,,1,1,2024,0.49,1.49,0.65,3.49,,,,1,6,Top,,,,,668670,,,-2.908643027935783,-139.3489437024748,-5.005390839950618,7.005363659312025,31.33916615823581,-11.850323895718176,3.39,1.59,,,,95.7,2277.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.26,,,,,,,,41,3,2,0,0,2,0,2,0,2,Standard,Strategic,148.0,0.0,-0.038,72.141,6.99576,1-1,17.88,-5.88,Fastballs,Other
Changeup,2024-09-24,84.8,1.63,6.13,"Skubal, Tarik",650490,669373,,swinging_strike,,,,,7.0,"Yandy Díaz grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,S,,,1,0,2024,1.03,0.74,-0.65,1.83,,,,1,6,Top,,,,,668670,,,-7.367349506043387,-123.3518655234986,-5.226826021204941,11.978294907756608,22.785150556914573,-23.76575117522382,3.39,1.59,,,,84.8,1698.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.33,,,,,,,,41,2,2,0,0,2,0,2,0,2,Standard,Standard,135.0,0.0,-0.032,79.35437,8.96404,1-0,8.879999999999999,-12.36,Offspeed balls,Other
Four-Seam,2024-09-24,96.1,1.11,6.28,"Skubal, Tarik",650490,669373,,ball,,,,,11.0,"Yandy Díaz grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,B,,,0,0,2024,0.07,1.6,-0.82,4.18,,,,1,6,Top,,,,,668670,,,-5.25705485898013,-139.934938426115,-3.606898343743833,2.045028858011664,31.21812066441101,-10.508353408399833,3.39,1.52,,,,96.0,2257.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.32,,,,,,,,41,1,2,0,0,2,0,2,0,2,Standard,Standard,157.0,0.0,0.024,,,0-0,19.200000000000003,-0.8400000000000001,Fastballs,Other
Changeup,2024-09-24,86.2,1.44,6.16,"Skubal, Tarik",670764,669373,field_out,hit_into_play,,,,,9.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,X,5.0,ground_ball,2,2,2024,1.1,0.72,0.39,2.12,,,,0,6,Top,102.53,160.56,,,668670,,,-4.743979504808632,-125.56518352527384,-4.900497511550647,12.57512085592553,22.98791413433384,-23.7408999183689,3.41,1.55,6.0,87.0,-21.0,86.6,1801.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.22,0.083,0.078,0.0,1.0,0.0,0.0,Topped,40,6,2,0,0,2,0,2,0,2,Standard,Standard,136.0,0.03,-0.203,71.75832,7.64849,2-2,8.64,-13.200000000000001,Offspeed balls,Topped
Sinker,2024-09-24,97.0,1.48,6.13,"Skubal, Tarik",670764,669373,,ball,,,,,11.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,B,,,1,2,2024,0.92,1.27,-1.21,2.69,,,,0,6,Top,,,,,668670,,,-9.265168000910537,-140.91000341822672,-6.577235747220615,14.347274771008244,30.721851870517085,-13.849796269452684,3.3,1.46,,,,97.0,2100.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.2,,,,,,,,40,5,2,0,0,2,0,2,0,2,Standard,Standard,152.0,0.0,0.036,,,1-2,15.24,-11.040000000000001,Fastballs,Other
Slider,2024-09-24,92.2,1.65,6.06,"Skubal, Tarik",670764,669373,,ball,,,,,13.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,B,,,0,2,2024,-0.28,0.67,-1.43,1.8,,,,0,6,Top,,,,,668670,,,-7.213234351490076,-134.13362316104383,-6.53678765061196,-2.088159937898305,25.175926302645728,-22.98284907678489,3.19,1.5,,,,92.8,2159.0,6.4,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.14,,,,,,,,40,4,2,0,0,2,0,2,0,2,Standard,Standard,166.0,0.0,0.021,,,0-2,8.040000000000001,3.3600000000000003,Breaking balls,Other
Four-Seam,2024-09-24,97.1,1.44,6.1,"Skubal, Tarik",670764,669373,,foul,,,,,5.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,S,,,0,2,2024,0.5,1.24,0.24,2.65,,,,0,6,Top,,,,,668670,,,-4.334427162516822,-141.33603103371206,-6.599709211671615,7.622994067532916,28.817688408116148,-14.195810167158797,3.41,1.55,221.0,76.0,26.0,97.5,2173.0,6.3,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.22,,,,,,,,40,3,2,0,0,2,0,2,0,2,Standard,Standard,152.0,0.0,0.0,63.25027,6.83781,0-2,14.879999999999999,-6.0,Fastballs,Sweet Spot
Sinker,2024-09-24,95.5,1.54,6.0,"Skubal, Tarik",670764,669373,,foul,,,,,1.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,S,,,0,1,2024,1.13,1.05,-0.36,3.42,,,,0,6,Top,,,,,668670,,,-7.571514219291019,-139.02700125632265,-3.610194029091858,16.341596963256155,28.46199710972144,-17.88118366329097,3.41,1.55,190.0,66.3,40.0,96.0,2114.0,6.4,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.13,,,,,,,,40,2,2,0,0,2,0,2,0,2,Standard,Standard,149.0,0.0,-0.049,57.53985,5.51187,0-1,12.600000000000001,-13.559999999999999,Fastballs,Under
Four-Seam,2024-09-24,95.4,1.48,6.25,"Skubal, Tarik",670764,669373,,foul,,,,,3.0,"Taylor Walls grounds out, third baseman Zach McKinstry to first baseman Spencer Torkelson.",R,R,L,DET,TB,S,,,0,0,2024,0.41,1.36,0.66,2.85,,,,0,6,Top,,,,,668670,,,-3.092816554277781,-138.96010811757148,-6.421193065980434,6.046891264940284,29.147412499077724,-13.321073704701623,3.41,1.55,248.0,92.8,18.0,95.6,2209.0,6.2,746421,669373,668670,679529,690993,656716,700242,682985,678009,672761,54.29,,,,,,,,40,1,2,0,0,2,0,2,0,2,Standard,Standard,152.0,0.0,-0.033,59.54335,6.28885,0-0,16.32,-4.92,Fastballs,Sweet Spot
