name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,rbi,b_total_bases,r_total_stolen_base,exit_velocity_avg,hard_hit_percent,oz_contact_percent,pitch_count,iz_contact_percent,whiff_percent
Nolan Gorman,2022,22,283,313,64,37,13,0,14,103,28,32.9,8.9,0.226,0.42,0.3,0.72,0.194,35,119,1,89.2,43.3,47.1,1317,74.0,34.5
Keston Hiura,2022,25,234,266,53,30,8,1,14,111,23,41.7,8.6,0.226,0.449,0.316,0.765,0.223,32,105,5,91.7,45.2,41.3,1146,67.6,40.1
Nick Allen,2022,23,299,326,62,45,13,0,4,64,19,19.6,5.8,0.207,0.291,0.256,0.547,0.084,19,87,3,83.9,22.3,53.8,1154,84.5,22.7
Josh H. Smith,2022,24,213,253,42,35,5,0,2,50,28,19.8,11.1,0.197,0.249,0.307,0.556,0.052,16,53,4,87.0,28.6,55.9,1048,81.9,23.4
Austin Hays,2022,26,535,582,134,81,35,2,16,114,34,19.6,5.8,0.25,0.413,0.306,0.719,0.163,60,221,2,87.7,37.7,57.8,2051,87.7,23.5
Nicky Lopez,2022,27,436,480,99,83,12,4,0,63,29,13.1,6.0,0.227,0.273,0.281,0.554,0.046,20,119,13,84.9,22.9,70.2,1762,86.2,17.3
Yordan Alvarez,2022,25,470,561,144,76,29,2,37,106,78,18.9,13.9,0.306,0.613,0.406,1.019,0.307,97,288,1,95.2,59.8,52.7,2195,87.4,23.4
Isaac Paredes,2022,23,331,381,68,32,16,0,20,67,44,17.6,11.5,0.205,0.435,0.304,0.739,0.23,45,144,0,87.4,38.7,68.6,1617,89.0,16.5
Taylor Walls,2022,25,407,466,70,42,18,2,8,120,52,25.8,11.2,0.172,0.285,0.268,0.553,0.113,33,116,10,86.3,28.5,55.5,1888,78.9,25.4
Luis Gonzalez,2022,26,311,350,78,55,17,2,4,75,30,21.4,8.6,0.251,0.357,0.32,0.677,0.106,36,111,10,86.9,32.0,55.6,1472,82.0,22.7
TJ Friedl Jr.,2022,26,225,258,54,31,10,5,8,40,20,15.5,7.8,0.24,0.436,0.314,0.75,0.196,25,98,7,87.2,29.8,60.8,996,85.0,19.9
Luis Garcia,2022,22,360,377,99,67,23,2,7,84,11,22.3,2.9,0.275,0.408,0.295,0.703,0.133,45,147,3,87.3,36.7,60.8,1323,80.5,27.0
Michael Harris II,2022,21,414,441,123,74,27,3,19,107,21,24.3,4.8,0.297,0.514,0.339,0.853,0.217,64,213,20,89.5,45.1,52.5,1655,83.7,28.1
Alejandro Kirk,2022,23,470,541,134,101,19,0,14,58,63,10.7,11.6,0.285,0.415,0.372,0.787,0.13,63,195,0,90.5,45.4,72.7,2200,89.5,15.4
Geraldo Perdomo,2022,22,431,500,84,67,10,2,5,103,50,20.6,10.0,0.195,0.262,0.285,0.547,0.067,40,113,9,85.0,25.1,64.2,2061,83.7,18.3
Luis Robert Jr.,2022,24,380,401,108,78,18,0,12,77,17,19.2,4.2,0.284,0.426,0.319,0.745,0.142,56,162,11,89.3,42.8,57.1,1349,82.7,27.1
Ha-Seong Kim,2022,26,517,582,130,87,29,3,11,100,51,17.2,8.8,0.251,0.383,0.325,0.708,0.132,59,198,12,86.7,32.4,66.7,2359,85.8,19.1
