pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,count,pfx_z_inches,pfx_x_inches
4-Seam Fastball,2023-09-18,93.8,-2.59,5.36,"Arraez, Luis",650333,676130,field_out,hit_into_play,,,,,4,Luis Arraez flies out to left fielder Jeff McNeil in foul territory.,R,L,R,MIA,NYM,X,7.0,fly_ball,0,0,2023,-0.36,1.4,-0.48,2.39,,,,1,3,Bot,35.0,117.72,,,553882,,,6.245567524778156,-136.4119834514696,-5.00193978086896,-5.939669703631299,31.10677322061497,-13.811502347339758,3.14,1.48,300.0,92.3,42.0,93.4,2500.0,6.2,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.32,0.011,0.02,0.0,1.0,0.0,0.0,3.0,20,1,0,0,0,0,0,0,0,0,Standard,Standard,207.0,-0.017,-0.169,0-0,16.799999999999997,4.32
4-Seam Fastball,2023-09-18,95.5,-2.63,5.49,"Arraez, Luis",650333,676130,single,hit_into_play,,,,,5,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,X,8.0,line_drive,2,2,2023,-0.45,1.44,-0.08,2.38,,,,0,1,Bot,106.19,75.64,,,553882,,,7.694805653282093,-138.7018717535279,-5.739748607516864,-7.685623450239686,33.754322132716425,-12.456551067500053,3.14,1.48,279.0,99.8,15.0,94.7,2426.0,6.2,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.35,0.706,0.715,0.9,1.0,1.0,0.0,4.0,4,7,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.036,0.412,2-2,17.28,5.4
4-Seam Fastball,2023-09-18,94.8,-2.63,5.42,"Arraez, Luis",650333,676130,,foul,,,,,2,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,S,,,2,2,2023,-0.39,1.16,-0.13,2.67,,,,0,1,Bot,,,,,553882,,,7.44046221659973,-137.86577318149577,-4.11533453535869,-6.664666322163892,30.990729543383928,-16.674040246291145,3.14,1.48,,,,95.1,2458.0,6.5,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.01,,,,,,,,4,6,0,0,0,0,0,0,0,0,Strategic,Standard,206.0,0.0,0.0,2-2,13.919999999999998,4.68
Changeup,2023-09-18,85.8,-2.67,5.39,"Arraez, Luis",650333,676130,,ball,,,,,13,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,B,,,1,2,2023,-0.93,0.26,-1.39,1.8,,,,0,1,Bot,,,,,553882,,,4.913870706424621,-124.91622494106376,-2.784651329626443,-10.66770874794313,24.22699512801332,-29.055097520983708,3.02,1.46,,,,86.2,1818.0,6.4,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.06,,,,,,,,4,5,0,0,0,0,0,0,0,0,Standard,Standard,235.0,0.0,0.041,1-2,3.12,11.16
4-Seam Fastball,2023-09-18,93.9,-2.42,4.91,"Arraez, Luis",650333,641360,field_out,hit_into_play,,,,,11,Luis Arraez pops out to shortstop Francisco Lindor.,R,L,R,MIA,NYM,X,6.0,popup,0,0,2023,-0.4,1.41,-0.32,3.39,,,,1,8,Bot,112.0,140.78,,,553882,,,6.426852174435437,-136.60907045792004,-1.3332159388071985,-6.528181609818633,31.862762533906373,-14.447960644923873,3.14,1.48,155.0,89.3,65.0,94.9,2312.0,7.0,716535,641360,553882,624413,641645,677595,596019,643446,607043,621466,53.5,0.003,0.003,0.0,1.0,0.0,0.0,3.0,59,1,1,1,1,1,1,1,1,1,Standard,Standard,213.0,-0.034,-0.169,0-0,16.919999999999998,4.800000000000001
4-Seam Fastball,2023-09-18,95.6,-2.7,5.44,"Arraez, Luis",650333,676130,,ball,,,,,13,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,B,,,0,2,2023,-0.74,1.25,-2.36,2.05,,,,0,1,Bot,,,,,553882,,,2.557369187678451,-139.19767463065253,-6.140170710060676,-10.201064822044057,31.287373371315468,-14.768852766699023,3.15,1.48,,,,95.6,2314.0,6.2,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.25,,,,,,,,4,4,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.0,0.022,0-2,15.0,8.879999999999999
Curveball,2023-09-18,80.4,-2.61,5.55,"Arraez, Luis",650333,676130,,foul,,,,,4,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,S,,,0,2,2023,0.23,-0.56,-0.5,2.2,,,,0,1,Bot,,,,,553882,,,4.2069382604519125,-117.01018382878344,0.3932204103163685,1.2011182844354849,25.07555448877224,-37.62731523536164,3.14,1.48,194.0,76.8,58.0,79.4,2527.0,5.9,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.61,,,,,,,,4,3,0,0,0,0,0,0,0,0,Standard,Standard,27.0,0.0,0.0,0-2,-6.720000000000001,-2.7600000000000002
4-Seam Fastball,2023-09-18,94.1,-2.7,5.55,"Arraez, Luis",650333,676130,,foul,,,,,11,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,S,,,0,1,2023,-0.67,1.38,-0.72,3.47,,,,0,1,Bot,,,,,553882,,,6.613286372694165,-136.8418523633916,-2.709973067342163,-9.899669534584268,30.81548739555496,-14.44330304307115,3.14,1.48,245.0,78.8,43.0,93.8,2486.0,6.2,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.3,,,,,,,,4,2,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,-0.049,0-1,16.56,8.040000000000001
4-Seam Fastball,2023-09-18,93.7,-2.6,5.55,"Arraez, Luis",650333,676130,,called_strike,,,,,1,Luis Arraez singles on a line drive to center fielder Brandon Nimmo.,R,L,R,MIA,NYM,S,,,0,0,2023,-0.59,1.29,-0.33,2.53,,,,0,1,Bot,,,,,553882,,,7.116330223226897,-136.17731326929984,-4.863221961491301,-8.966473413352608,30.12731359392569,-15.299002684922677,2.91,1.36,,,,93.0,2396.0,6.0,716535,676130,553882,624413,641645,677595,596019,643446,607043,621466,54.55,,,,,,,,4,1,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.0,-0.038,0-0,15.48,7.08
4-Seam Fastball,2023-09-17,94.5,-2.35,5.26,"Arraez, Luis",650333,450203,grounded_into_double_play,hit_into_play,,,,,11,"Luis Arraez grounds into a double play, third baseman Austin Riley to shortstop Orlando Arcia to first baseman Matt Olson.   Nick Fortes out at 2nd.    Luis Arraez out at 1st.",R,L,R,MIA,ATL,X,5.0,ground_ball,3,2,2023,-1.16,0.88,-1.1,2.68,,,663743.0,1,4,Bot,105.58,151.91,,,518595,,,5.805915717363386,-137.57930536526047,-2.990561125018787,-16.00456129934696,30.57692404105713,-20.55428737867056,3.1,1.46,106.0,95.3,5.0,94.1,2455.0,6.0,716546,450203,518595,621566,645277,663586,606115,592696,671739,607680,54.5,0.489,0.44,0.0,1.0,0.0,0.0,4.0,37,7,5,0,5,0,0,5,5,0,Infield shade,Standard,234.0,-0.009,-0.462,3-2,10.56,13.919999999999998
