"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"CU","2023-09-30","77.1","2.1","5.73","Schwarber, Kyle",656941,500779,,"ball",,,,,13,"Kyle Schwarber singles on a ground ball to right fielder DJ Stewart.","R","L","L","NYM","PHI","B",,,1,2,2023,"-1.13","-0.77","-1.95","-0.3",,,,0,3,"Top",,,,,682626,,,-6.50630336530674,-111.89080320639576,-4.232779665637349,-7.877495827970423,25.330856957583194,-37.80234990499882,"3.36","1.57",,,,"76",2365,"6.2",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"54.29",,,,,,,,19,4,"Curveball",3,0,0,3,0,3,0,3,"Infield shade","Standard",320,"0","0.041",,
"FF","2023-09-30","96.8","-1.33","5.94","Schwarber, Kyle",656941,656731,,"swinging_strike",,,,,2,"Kyle Schwarber called out on strikes.","R","L","R","NYM","PHI","S",,,2,1,2023,"-0.92","1.43","-0.24","3.02",,,,2,3,"Top",,,,,553882,,,5.07816748970892,-140.6430626705064,-5.465579466969061,-13.354807539815091,37.01555451848179,-12.22438547082634,"3.3","1.54",,,,"97.5",2202,"7.2",716376,656731,553882,624413,641645,677595,596019,664901,542364,621466,"53.34",,,,,,,,23,4,"4-Seam Fastball",4,0,0,4,0,4,0,4,"Infield shade","Standard",219,"0","-0.031",,
"SI","2023-09-30","90.3","2","5.75","Schwarber, Kyle",656941,500779,,"ball",,,,,13,"Kyle Schwarber singles on a ground ball to right fielder DJ Stewart.","R","L","L","NYM","PHI","B",,,0,2,2023,"1.06","1.06","-1.42","2.08",,,,0,3,"Top",,,,,682626,,,-10.8068686859102,-130.90403068650585,-5.388064459453338,14.610476766062115,29.90422410288758,-18.95760481750673,"3.38","1.57",,,,"90.3",2123,"6.7",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"53.83",,,,,,,,19,3,"Sinker",3,0,0,3,0,3,0,3,"Infield shade","Standard",158,"0","0.022",,
"CH","2023-09-30","85.2","2.12","5.77","Schwarber, Kyle",656941,500779,,"swinging_strike",,,,,13,"Kyle Schwarber singles on a ground ball to right fielder DJ Stewart.","R","L","L","NYM","PHI","S",,,0,1,2023,"1.38","0.16","-0.11","1.01",,,,0,3,"Top",,,,,682626,,,-7.982680522401455,-123.66050113422654,-5.100235680398242,15.78872885627045,26.99564675444682,-29.637751003885935,"3.29","1.55",,,,"84.7",1336,"6.3",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"54.18",,,,,,,,19,2,"Changeup",3,0,0,3,0,3,0,3,"Standard","Standard",135,"0","-0.049",,
"FF","2023-09-30","96.1","-1.33","6.05","Schwarber, Kyle",656941,656731,,"swinging_strike",,,,,2,"Kyle Schwarber called out on strikes.","R","L","R","NYM","PHI","S",,,2,0,2023,"-0.54","1.4","-0.1","3.12",,,,2,3,"Top",,,,,553882,,,4.5412774649211265,-139.67836514082015,-5.342879558695078,-8.196126290178583,35.24192134200427,-12.869504035191422,"3.3","1.54",,,,"97",2040,"7.1",716376,656731,553882,624413,641645,677595,596019,664901,542364,621466,"53.38",,,,,,,,23,3,"4-Seam Fastball",4,0,0,4,0,4,0,4,"Infield shade","Standard",212,"0","-0.023",,
"SI","2023-09-30","89.7","2.05","5.8","Schwarber, Kyle",656941,500779,,"called_strike",,,,,5,"Kyle Schwarber singles on a ground ball to right fielder DJ Stewart.","R","L","L","NYM","PHI","S",,,0,0,2023,"1.35","0.97","-0.12","2.59",,,,0,3,"Top",,,,,682626,,,-8.24143205092434,-130.2720058249665,-3.892598347139592,17.25733399497056,32.09273529251495,-20.520763431324852,"3.44","1.6",,,,"89.1",2127,"6.4",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"54.05",,,,,,,,19,1,"Sinker",3,0,0,3,0,3,0,3,"Standard","Standard",169,"0","-0.038",,
"SL","2023-09-30","84.2","-1.37","5.98","Schwarber, Kyle",656941,656731,,"ball",,,,,11,"Kyle Schwarber called out on strikes.","R","L","R","NYM","PHI","B",,,1,0,2023,"0.4","0.05","-0.18","3.7",,,,2,3,"Top",,,,,553882,,,1.98812931484716,-122.51953071750661,1.105743919829604,3.5955446661007513,27.34257766142277,-32.15503762360443,"3.3","1.62",,,,"84.7",2124,"6.9",716376,656731,553882,624413,641645,677595,596019,664901,542364,621466,"53.58",,,,,,,,23,2,"Slider",4,0,0,4,0,4,0,4,"Infield shade","Standard",83,"0","0.022",,
"FS","2023-09-30","85.3","-1.44","5.95","Schwarber, Kyle",656941,656731,,"ball",,,,,11,"Kyle Schwarber called out on strikes.","R","L","R","NYM","PHI","B",,,0,0,2023,"-0.81","0.03","-1.5","3.62",,,,2,3,"Top",,,,,553882,,,1.5152737445655902,-124.06239833136492,0.9009103392246676,-8.627747000362525,29.131543184641185,-32.328885237503485,"3.3","1.62",,,,"85.6",628,"6.9",716376,656731,553882,624413,641645,677595,596019,664901,542364,621466,"53.57",,,,,,,,23,1,"Split-Finger",4,0,0,4,0,4,0,4,"Infield shade","Standard",239,"0","0.016",,
"FC","2023-09-30","89","-2.25","5.51","Schwarber, Kyle",656941,657585,"field_out","hit_into_play",,,,,5,"Kyle Schwarber pops out to catcher Francisco Alvarez in foul territory.","R","L","R","NYM","PHI","X",2,"popup",2,1,2023,"0.45","0.48","0.09","2.46",,,,2,6,"Top",102.02,200.74,,,682626,,,4.761126972905652,-129.59993624250782,-2.4192407928282713,4.070772713144096,28.26207596480224,-26.498716231160966,"3.29","1.55",71,"88.7",81,"88.4",2413,"6",716393,657585,682626,668901,677595,683146,596019,641796,542364,621466,"54.51",0.001,0,"0",1,0,0,3,58,4,"Cutter",11,4,4,11,4,11,4,11,"Infield shade","Standard",146,"0.001","-0.121",,
"FF","2023-09-30","96.2","-2.1","5.62","Schwarber, Kyle",656941,657585,,"ball",,,,,11,"Kyle Schwarber pops out to catcher Francisco Alvarez in foul territory.","R","L","R","NYM","PHI","B",,,1,1,2023,"-0.46","1.64","-0.95","4.31",,,,2,6,"Top",,,,,682626,,,4.067626599319612,-139.94808513683782,-1.5149159293381302,-7.043878325456562,37.72439031954281,-10.785003558309347,"3.34","1.62",,,,"94.8",2278,"6",716393,657585,682626,668901,677595,683146,596019,641796,542364,621466,"54.54",,,,,,,,58,3,"4-Seam Fastball",11,4,4,11,4,11,4,11,"Infield shade","Standard",211,"0","0.02",,
"FS","2023-09-30","86.6","-2.1","5.63","Schwarber, Kyle",656941,657585,,"swinging_strike",,,,,4,"Kyle Schwarber pops out to catcher Francisco Alvarez in foul territory.","R","L","R","NYM","PHI","S",,,1,0,2023,"-0.93","0.28","-0.5","2.16",,,,2,6,"Top",,,,,682626,,,5.671644218270937,-125.88543441726664,-2.593334220002833,-11.044309948756997,27.902487111445726,-28.855616273393775,"3.29","1.55",,,,"85.8",1487,"6",716393,657585,682626,668901,677595,683146,596019,641796,542364,621466,"54.47",,,,,,,,58,2,"Split-Finger",11,4,4,11,4,11,4,11,"Infield shade","Standard",225,"0","-0.022",,
"SI","2023-09-30","95.6","-2.11","5.49","Schwarber, Kyle",656941,657585,,"ball",,,,,11,"Kyle Schwarber pops out to catcher Francisco Alvarez in foul territory.","R","L","R","NYM","PHI","B",,,0,0,2023,"-1.42","0.97","-1.38","2.61",,,,2,6,"Top",,,,,682626,,,5.13192832369586,-139.03869951780908,-4.082532778789884,-19.5045016137299,35.384786849890176,-18.908929463787505,"3.28","1.56",,,,"95",2149,"6.3",716393,657585,682626,668901,677595,683146,596019,641796,542364,621466,"54.25",,,,,,,,58,1,"Sinker",11,4,4,11,4,11,4,11,"Infield shade","Standard",215,"0","0.016",,
"SI","2023-09-30","92.6","2.08","5.72","Schwarber, Kyle",656941,500779,"strikeout","called_strike",,,,,9,"Kyle Schwarber called out on strikes.","R","L","L","NYM","PHI","S",2,,3,2,2023,"1.36","1.26","0.53","1.77",,,,0,1,"Top",,,,,682626,,,-6.952030960175099,-134.46409691442292,-7.004263795158593,17.990153462419737,30.750118647424696,-15.522320267723707,"3.14","1.55",,,,"92.8",2191,"6.6",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"53.88",,0,"0",1,0,0,,1,6,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",160,"0.022","-0.317",,
"SI","2023-09-30","92.7","1.93","5.72","Schwarber, Kyle",656941,500779,,"ball",,,,,13,"Kyle Schwarber called out on strikes.","R","L","L","NYM","PHI","B",,,2,2,2023,"1.23","1.16","-0.86","0.64",,,,0,1,"Top",,,,,682626,,,-9.839593637887512,-134.27488045137304,-9.6286067727652,17.111368870720817,30.45282345890537,-16.153798605161768,"3.23","1.53",,,,"92.4",2254,"6.5",716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,"54.01",,,,,,,,1,5,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",155,"0","0.103",,
"ST","2023-09-30","81.1","3.4","5.46","Schwarber, Kyle",656941,548384,"strikeout","called_strike",,,,,6,"Kyle Schwarber called out on strikes.","R","L","L","NYM","PHI","S",2,,2,2,2023,"-1.56","0.25","0.75","2.44",,642215,595909,1,8,"Top",,,,,553882,,,-2.926945585669113,-117.9911391111338,-0.5100482136565563,-13.732321129495473,25.882964959599523,-30.021220861603908,"3.25","1.5",,,,"79.9",3050,"5.8",716376,548384,553882,624413,641645,677595,596019,664901,542364,621466,"54.69",,0,"0",1,0,0,,58,5,"Sweeper",4,0,0,4,0,4,0,4,"Standard","Standard",292,"0.029","-0.391",,
