pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-28,95.1,2.07,5.91,"Schwarber, Kyle",656941,669022,,foul,,,,,13.0,Kyle Schwarber strikes out swinging.,R,L,L,WSH,PHI,S,,,0,1,2024,0.59,1.51,-0.97,2.09,,,,0,6,Top,,,,,660688,,,-9.399348863202148,-138.0549937533315,-7.868721541848948,9.53211272403881,28.162051881110163,-11.21253634181797,3.27,1.54,147.0,78.4,11.0,96.5,2187.0,7.0,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.48,,,,,,,,36,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,148.0,0.0,-0.049,76.46161,7.26851
FF,2024-09-28,95.5,2.13,5.82,"Schwarber, Kyle",656941,669022,,foul,,,,,12.0,Kyle Schwarber strikes out swinging.,R,L,L,WSH,PHI,S,,,0,0,2024,0.67,1.41,0.9,2.43,,,,0,6,Top,,,,,660688,,,-4.805762349191912,-138.9475113192475,-6.55892329112756,9.810635613361908,32.037308147802115,-12.6357738140091,3.27,1.54,8.0,91.3,-15.0,96.6,2282.0,7.0,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.52,,,,,,,,36,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,147.0,0.0,-0.033,76.69114,7.0028
FF,2024-09-28,95.0,2.12,5.79,"Schwarber, Kyle",656941,669022,field_out,hit_into_play,,,,,6.0,Kyle Schwarber pops out to third baseman José Tena in foul territory.,R,L,L,WSH,PHI,X,5.0,popup,2,0,2024,0.52,1.23,0.58,2.51,,,,1,3,Top,103.57,188.68,,,660688,,,-5.261213069003767,-138.1801777513471,-5.720272002856549,7.895329826604771,32.75285626255672,-15.338185028808862,3.27,1.54,65.0,82.5,76.0,95.8,2163.0,6.9,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.58,0.011,0.014,0.0,1.0,0.0,0.0,3.0,18,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,145.0,0.018,-0.232,75.04578,7.33678
SL,2024-09-28,90.2,2.15,5.86,"Schwarber, Kyle",656941,669022,,ball,,,,,13.0,Kyle Schwarber pops out to third baseman José Tena in foul territory.,R,L,L,WSH,PHI,B,,,1,0,2024,0.06,0.82,-1.35,1.32,,,,1,3,Top,,,,,660688,,,-8.910607951714548,-130.9565916312379,-7.137058836947247,2.5542824853361137,27.39981506490282,-21.41592776135277,3.18,1.45,,,,91.2,1923.0,7.0,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.52,,,,,,,,18,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,143.0,0.0,0.046,,
CU,2024-09-28,82.5,1.91,5.82,"Schwarber, Kyle",656941,669022,,ball,,,,,13.0,Kyle Schwarber pops out to third baseman José Tena in foul territory.,R,L,L,WSH,PHI,B,,,0,0,2024,0.11,-0.94,-1.06,1.27,,,,1,3,Top,,,,,660688,,,-7.039630306044849,-119.98697714101928,-2.0066029999154997,2.4378865613306107,23.64153547073673,-41.088051817813735,3.12,1.39,,,,83.3,2338.0,6.9,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.62,,,,,,,,18,1,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,349.0,0.0,0.024,,
SI,2024-09-28,98.3,2.83,6.0,"Schwarber, Kyle",656941,678606,field_out,hit_into_play,,,,,5.0,Kyle Schwarber lines out sharply to center fielder Jacob Young.,R,L,L,WSH,PHI,X,8.0,line_drive,0,0,2024,1.57,0.85,0.09,2.34,,,624641.0,1,8,Top,107.49,58.56,,,660688,,,-11.003528590979467,-142.635660838089,-6.398312885772604,23.995967341085663,32.62429629509562,-19.17393923312217,3.27,1.54,351.0,103.3,19.0,98.0,2078.0,6.2,744799,678606,660688,608336,671277,677588,683083,695578,696285,686611,54.25,0.48,0.634,0.0,1.0,0.0,0.0,5.0,56,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,116.0,0.046,-0.3,77.06935,7.33295
FF,2024-09-28,94.5,2.3,5.7,"Schwarber, Kyle",656941,669022,walk,ball,,,,,1.0,Kyle Schwarber walks.,R,L,L,WSH,PHI,B,,,3,0,2024,0.73,1.51,-0.77,2.68,,,,0,1,Top,,,,,660688,,,-9.726826447770303,-137.2105053918195,-5.578810664454769,11.304886739687824,29.204254224826133,-12.025839387129132,3.21,1.5,,,,95.6,2238.0,7.0,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.55,,0.689131,0.7,1.0,0.0,0.0,,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,144.0,-0.036,0.178,,
FF,2024-09-28,95.1,2.5,5.67,"Schwarber, Kyle",656941,669022,,ball,,,,,14.0,Kyle Schwarber walks.,R,L,L,WSH,PHI,B,,,2,0,2024,1.05,1.48,1.1,1.64,,,,0,1,Top,,,,,660688,,,-6.039911721871617,-138.25059135744277,-8.29703371284588,14.74054384854564,29.84655444052574,-11.539473296441145,3.15,1.47,,,,95.9,2194.0,6.7,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.8,,,,,,,,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,137.0,0.0,0.132,,
ST,2024-09-28,86.4,2.49,5.41,"Schwarber, Kyle",656941,669022,,ball,,,,,13.0,Kyle Schwarber walks.,R,L,L,WSH,PHI,B,,,1,0,2024,0.02,0.18,-1.55,0.55,,,,0,1,Top,,,,,660688,,,-9.725496777156543,-125.09295862870404,-5.447363774879823,2.8900731180268338,34.642633904866216,-29.11447714654187,3.26,1.53,,,,85.7,1994.0,7.0,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.54,,,,,,,,1,2,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,30.0,0.0,0.061,,
FF,2024-09-28,95.2,2.16,5.78,"Schwarber, Kyle",656941,669022,,ball,,,,,13.0,Kyle Schwarber walks.,R,L,L,WSH,PHI,B,,,0,0,2024,0.61,1.37,-1.67,1.42,,,,0,1,Top,,,,,660688,,,-11.520617904783006,-138.03107855711536,-8.940091668852924,10.256133378598458,29.786554744639997,-12.708649626482616,3.0,1.32,,,,96.0,2196.0,6.9,744799,669022,660688,608336,671277,677588,683083,695578,696285,686611,53.61,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,144.0,0.0,0.034,,
FF,2024-09-27,86.4,-2.41,5.03,"Schwarber, Kyle",656941,592866,walk,ball,,,,,13.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,3,1,2024,-0.81,0.51,-1.11,1.32,,669720.0,,0,3,Top,,,,,660688,,,4.804301277439249,-125.7879187343702,-3.725188301310133,-9.501308137593671,23.8588921048039,-26.23604455641923,3.41,1.62,,,,87.9,1891.0,7.0,744797,592866,660688,660766,671277,545121,683083,695578,696285,686611,53.46,,0.689131,0.7,1.0,0.0,0.0,,26,5,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,235.0,-0.02,0.234,,
ST,2024-09-27,76.3,-2.51,5.08,"Schwarber, Kyle",656941,592866,,ball,,,,,13.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,2,1,2024,1.1,0.25,-1.01,1.33,,669720.0,,0,3,Top,,,,,660688,,,1.1955383305941574,-111.21943633943336,-1.4119185166339765,9.031734680476738,17.12366672108743,-30.041653453212398,3.3,1.51,,,,77.8,2252.0,6.9,744797,592866,660688,660766,671277,545121,683083,695578,696285,686611,53.58,,,,,,,,26,4,Sweeper,6,0,0,6,0,6,0,6,Standard,Standard,100.0,0.0,0.127,,
FF,2024-09-27,87.9,-2.21,5.07,"Schwarber, Kyle",656941,592866,,ball,,,,,12.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,1,1,2024,-0.04,0.7,1.4,2.56,,669720.0,,0,3,Top,,,,,660688,,,8.943658188792634,-127.93140696008332,-1.5366151635687602,-2.0191003906283207,22.075244338416883,-24.32020602266194,3.29,1.64,,,,89.6,2213.0,6.9,744797,592866,660688,660766,671277,545121,683083,695578,696285,686611,53.56,,,,,,,,26,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,223.0,0.0,0.057,,
FF,2024-09-27,86.7,-2.36,4.96,"Schwarber, Kyle",656941,592866,,called_strike,,,,,5.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,S,,,1,0,2024,-0.17,0.77,-0.17,2.74,,669720.0,,0,3,Top,,,,,660688,,,5.680350726809975,-126.4076752143446,-0.7954763670951617,-2.8006041603703107,21.295751078588815,-23.81821537749131,3.37,1.64,,,,88.7,2080.0,7.0,744797,592866,660688,660766,671277,545121,683083,695578,696285,686611,53.46,,,,,,,,26,2,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,224.0,0.0,-0.05,,
FF,2024-09-27,88.2,-2.35,5.05,"Schwarber, Kyle",656941,592866,,ball,,,,,12.0,Kyle Schwarber walks.,R,L,R,WSH,PHI,B,,,0,0,2024,-0.09,0.77,0.91,2.5,,669720.0,,0,3,Top,,,,,660688,,,8.191373970354427,-128.3634010988592,-1.8261815275196864,-2.3493799736869856,21.61006798512691,-23.40483225497449,3.38,1.62,,,,89.8,2179.0,6.9,744797,592866,660688,660766,671277,545121,683083,695578,696285,686611,53.63,,,,,,,,26,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,227.0,0.0,0.053,,
FF,2024-09-27,94.1,-2.61,6.28,"Schwarber, Kyle",656941,663432,field_out,hit_into_play,,,,,1.0,Kyle Schwarber flies out to third baseman Ildemaro Vargas.,R,L,R,WSH,PHI,X,5.0,fly_ball,2,1,2024,-0.73,1.48,-0.79,2.92,,,,2,8,Top,104.56,170.23,,,660688,,,6.353682683838769,-136.8615444685416,-6.330519481154686,-10.49324990341862,28.062944858617232,-12.365351625293709,3.29,1.53,114.0,73.9,69.0,94.6,2293.0,6.4,744797,663432,660688,660766,671277,545121,683083,695578,696285,686611,54.07,0.001,0.0,0.0,1.0,0.0,0.0,3.0,66,4,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shade,Standard,207.0,0.0,-0.116,82.07465,7.64786
FF,2024-09-27,95.2,-2.62,6.32,"Schwarber, Kyle",656941,663432,,ball,,,,,11.0,Kyle Schwarber flies out to third baseman Ildemaro Vargas.,R,L,R,WSH,PHI,B,,,1,1,2024,-0.79,1.53,-1.75,4.51,,,,2,8,Top,,,,,660688,,,3.995787513192844,-138.66188283839352,-2.589774834647211,-11.118532472717746,28.28323897724884,-11.9394259566793,3.3,1.56,,,,94.7,2370.0,5.7,744797,663432,660688,660766,671277,545121,683083,695578,696285,686611,54.77,,,,,,,,66,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shade,Standard,211.0,0.0,0.022,,
